tradedate,close,volume,open,high,low
2019-11-29,151.38,11977300,152.10,152.30,151.28
2019-12-02,149.55,27473620,151.81,151.83,148.32
2019-12-03,149.31,25192150,147.49,149.43,146.65
2019-12-04,149.85,17580620,150.14,150.18,149.20
2019-12-05,149.93,17880600,150.05,150.32,149.48
2019-12-06,151.75,16410400,150.99,151.87,150.27
2019-12-09,151.36,16741350,151.07,152.21,150.91
2019-12-10,151.13,16481060,151.29,151.89,150.77
2019-12-11,151.70,18860000,151.54,151.87,150.33
2019-12-12,153.24,24645370,151.65,153.44,151.02
2019-12-13,154.53,23850060,153.00,154.89,152.83
2019-12-16,155.53,24152770,155.11,155.90,154.82
2019-12-17,154.69,25443530,155.45,155.71,154.45
2019-12-18,154.37,24132380,154.30,155.48,154.18
2019-12-19,155.71,25813830,154.00,155.77,153.75
2019-12-20,157.41,53599610,157.35,158.49,156.29
2019-12-23,157.41,17726280,158.12,158.12,157.27
2019-12-24,157.38,8989150,157.48,157.71,157.12
2019-12-26,158.67,14526930,157.56,158.73,157.40
2019-12-27,158.96,18414350,159.45,159.55,158.22
2019-12-30,157.59,16356720,158.99,159.02,156.73
2019-12-31,157.70,18393380,156.77,157.77,156.45
2020-01-02,160.62,22634550,158.78,160.73,158.33
2020-01-03,158.62,21121680,158.32,159.95,158.06
2020-01-06,159.03,20826700,157.08,159.10,156.51
2020-01-07,157.58,21881740,159.32,159.67,157.32
2020-01-08,160.09,27762030,158.93,160.80,157.95
2020-01-09,162.09,21399950,161.84,162.22,161.03
2020-01-10,161.34,20733950,162.82,163.22,161.18
2020-01-13,163.28,21637010,161.76,163.31,161.26
2020-01-14,162.13,23500780,163.39,163.60,161.72
2020-01-15,163.18,21417870,162.62,163.94,162.57
2020-01-16,166.17,23865360,164.35,166.24,164.03
2020-01-17,167.10,34371660,167.42,167.47,165.43
2020-01-21,166.50,29517190,166.68,168.19,166.43
2020-01-22,165.70,24138780,167.40,167.49,165.68
2020-01-23,166.72,19680770,166.19,166.80,165.27
2020-01-24,165.04,24918120,167.51,167.53,164.45
2020-01-27,162.28,32078070,161.15,163.38,160.20
2020-01-28,165.46,24899940,163.78,165.76,163.07
2020-01-29,168.04,35127770,167.84,168.75,165.69
2020-01-30,172.78,51597470,174.05,174.05,170.79
2020-01-31,170.23,36142690,172.21,172.40,169.58
2020-02-03,174.38,30149050,170.43,174.50,170.40
2020-02-04,180.12,36433340,177.14,180.64,176.31
2020-02-05,179.90,39186320,184.03,184.20,178.41
2020-02-06,183.63,27751380,180.97,183.82,180.06
2020-02-07,183.89,33529070,182.85,185.63,182.48
2020-02-10,188.70,35844270,183.58,188.84,183.25
2020-02-11,184.44,53159910,190.65,190.70,183.50
2020-02-12,184.71,47062920,185.58,185.85,181.85
2020-02-13,183.71,35295830,183.08,186.23,182.87
2020-02-14,185.35,23149520,183.25,185.41,182.65
2020-02-18,187.23,27853110,185.61,187.70,185.50
2020-02-19,187.28,29997470,188.06,188.18,186.47
2020-02-20,184.42,36862380,186.95,187.25,181.10
2020-02-21,178.59,48600390,183.17,183.50,177.25
2020-02-24,170.89,68311070,167.77,174.55,163.23
2020-02-25,168.07,68073300,174.20,174.84,167.65
2020-02-26,170.17,56387150,169.71,173.26,168.21
2020-02-27,158.18,93174910,163.32,167.03,157.98
2020-02-28,162.01,97073560,152.41,163.71,152.00
2020-03-02,172.79,71030810,165.31,172.92,162.31
